low, high , selection0_bin0_pdf, selection0_bin0_cdf, selection0_bin1_pdf, selection0_bin1_cdf, selection0_bin2_pdf, selection0_bin2_cdf, selection0_bin3_pdf, selection0_bin3_cdf, selection0_bin4_pdf, selection0_bin4_cdf, selection0_bin5_pdf, selection0_bin5_cdf, selection1_bin0_pdf, selection1_bin0_cdf, selection1_bin1_pdf, selection1_bin1_cdf, selection1_bin2_pdf, selection1_bin2_cdf, selection1_bin3_pdf, selection1_bin3_cdf, selection1_bin4_pdf, selection1_bin4_cdf, selection1_bin5_pdf, selection1_bin5_cdf
0.052000,0.054000,2.797082,0.945414,1.981942,0.972693,2.486679,0.971581,2.258356,0.980578,1.048951,0.981119,0.566893,0.985261,3.051324,0.912878,2.154274,0.945935,1.105950,0.949790,1.914580,0.952577,0.231803,0.959666,1.806685,0.961156
0.054000,0.056000,2.407797,0.950229,0.990971,0.974675,0.888099,0.973357,0.677507,0.981933,1.048951,0.983217,0.566893,0.986395,2.773188,0.918424,1.945796,0.949826,1.880115,0.953550,1.767305,0.956112,0.927214,0.961521,3.613369,0.968383
0.056000,0.058000,2.912425,0.956054,1.761726,0.978199,1.953819,0.977265,2.032520,0.985998,0.699301,0.984615,1.133787,0.988662,2.879534,0.924183,1.667825,0.953162,1.437735,0.956426,1.620029,0.959352,2.318034,0.966157,1.806685,0.971996
0.058000,0.060000,2.350125,0.960754,1.321295,0.980841,1.598579,0.980462,0.000000,0.985998,0.699301,0.986014,1.700680,0.992063,2.445968,0.929075,2.223767,0.957609,1.990710,0.960407,0.736377,0.960825,1.390821,0.968938,3.161698,0.978320
0.060000,0.062000,1.946423,0.964647,1.651619,0.984144,0.888099,0.982238,0.225836,0.986450,0.699301,0.987413,0.000000,0.992063,2.544134,0.934163,1.528839,0.960667,1.658925,0.963725,2.061856,0.964948,1.159017,0.971256,0.903342,0.980126
0.062000,0.064000,1.787825,0.968223,0.660647,0.985466,2.131439,0.986501,0.225836,0.986902,0.699301,0.988811,0.000000,0.992063,2.642300,0.939448,1.389854,0.963447,2.764875,0.969255,1.767305,0.968483,1.390821,0.974038,0.903342,0.981933
0.064000,0.066000,1.744572,0.971712,0.660647,0.986787,1.065719,0.988632,0.451671,0.987805,0.000000,0.988811,0.566893,0.993197,2.306899,0.944062,1.806810,0.967060,1.216545,0.971688,1.325479,0.971134,0.927214,0.975892,0.903342,0.983740
0.066000,0.068000,1.485049,0.974682,0.660647,0.988108,0.710480,0.990053,0.451671,0.988708,0.699301,0.990210,0.000000,0.993197,2.184192,0.948430,1.945796,0.970952,1.658925,0.975006,2.061856,0.975258,0.695410,0.977283,0.000000,0.983740
0.068000,0.070000,1.211108,0.977104,0.550540,0.989209,0.355240,0.990764,0.451671,0.989612,0.699301,0.991608,1.700680,0.996599,2.323260,0.953077,1.111883,0.973176,1.216545,0.977439,1.030928,0.977320,1.159017,0.979601,0.903342,0.985547
0.070000,0.072000,1.441795,0.979988,0.770755,0.990751,0.000000,0.990764,0.000000,0.989612,0.000000,0.991608,0.000000,0.996599,2.159651,0.957396,1.042391,0.975261,1.327140,0.980093,1.325479,0.979971,1.390821,0.982383,0.451671,0.986450
0.072000,0.074000,1.081346,0.982151,0.440432,0.991632,0.177620,0.991119,0.225836,0.990063,0.349650,0.992308,0.566893,0.997732,2.462329,0.962321,0.833912,0.976928,1.105950,0.982305,1.620029,0.983211,0.927214,0.984237,0.903342,0.988257
0.074000,0.076000,1.081346,0.984313,0.990971,0.993614,0.355240,0.991829,0.903342,0.991870,0.000000,0.992308,0.000000,0.997732,2.143290,0.966607,1.250869,0.979430,1.769520,0.985844,1.178203,0.985567,0.000000,0.984237,0.000000,0.988257
0.076000,0.078000,0.893913,0.986101,0.550540,0.994715,0.000000,0.991829,1.129178,0.994128,0.349650,0.993007,0.566893,0.998866,1.856972,0.970321,1.181376,0.981793,0.884760,0.987613,0.883652,0.987334,1.159017,0.986555,0.903342,0.990063
0.078000,0.080000,0.692061,0.987485,0.110108,0.994935,0.888099,0.993606,0.225836,0.994580,0.349650,0.993706,0.000000,0.998866,1.636099,0.973593,1.111883,0.984017,0.552975,0.988719,1.030928,0.989396,1.390821,0.989337,0.451671,0.990967
0.080000,0.082000,0.908331,0.989302,0.330324,0.995596,0.710480,0.995027,0.225836,0.995032,0.699301,0.995105,0.000000,0.998866,1.693362,0.976980,1.250869,0.986518,0.774165,0.990268,0.441826,0.990280,0.231803,0.989801,0.451671,0.991870
0.082000,0.084000,0.893913,0.991090,0.330324,0.996256,0.000000,0.995027,0.225836,0.995483,0.000000,0.995105,0.000000,0.998866,1.677001,0.980334,1.042391,0.988603,0.331785,0.990931,0.589102,0.991458,0.231803,0.990264,0.000000,0.991870
0.084000,0.086000,0.879495,0.992849,0.330324,0.996917,0.355240,0.995737,0.000000,0.995483,0.699301,0.996503,0.000000,0.998866,1.333421,0.983001,0.903405,0.990410,0.774165,0.992480,1.620029,0.994698,0.463607,0.991191,0.451671,0.992773
0.086000,0.088000,0.778569,0.994406,0.220216,0.997357,0.355240,0.996448,0.451671,0.996387,0.000000,0.996503,0.000000,0.998866,1.431587,0.985864,0.416956,0.991244,0.442380,0.993364,0.883652,0.996465,0.927214,0.993046,0.903342,0.994580
0.088000,0.090000,0.576718,0.995559,0.550540,0.998458,0.355240,0.997158,0.451671,0.997290,0.349650,0.997203,0.000000,0.998866,1.251616,0.988367,0.555942,0.992356,0.442380,0.994249,0.147275,0.996760,0.927214,0.994900,0.451671,0.995483
0.090000,0.092000,0.432538,0.996424,0.000000,0.998458,0.710480,0.998579,0.000000,0.997290,0.349650,0.997902,0.000000,0.998866,1.186172,0.990740,0.903405,0.994163,0.995355,0.996240,0.441826,0.997644,0.000000,0.994900,0.000000,0.995483
0.092000,0.094000,0.619972,0.997664,0.000000,0.998458,0.355240,0.999290,0.225836,0.997742,0.000000,0.997902,0.000000,0.998866,1.439767,0.993619,0.972898,0.996108,0.331785,0.996903,0.147275,0.997938,0.231803,0.995364,0.451671,0.996387
0.094000,0.096000,0.360449,0.998385,0.330324,0.999119,0.177620,0.999645,0.225836,0.998193,0.000000,0.997902,0.566893,1.000000,1.218894,0.996057,0.833912,0.997776,0.442380,0.997788,0.147275,0.998233,0.695410,0.996755,0.451671,0.997290
0.096000,0.098000,0.519046,0.999423,0.220216,0.999560,0.177620,1.000000,0.677507,0.999548,0.000000,0.997902,0.000000,1.000000,1.088006,0.998233,0.416956,0.998610,0.663570,0.999115,0.294551,0.998822,0.927214,0.998609,0.451671,0.998193
0.098000,0.100000,0.288359,1.000000,0.220216,1.000000,0.000000,1.000000,0.225836,1.000000,1.048951,1.000000,0.000000,1.000000,0.883493,1.000000,0.694927,1.000000,0.442380,1.000000,0.589102,1.000000,0.695410,1.000000,0.903342,1.000000
