Axis,Line Label,X,Y,Marker,Marker Size,Marker Face Color,Marker Edge Color
Axes 1,$69.3 < \lambda \leq 140$,-350.8587735470942,0.0002720725502123652,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-347.2540601202405,0.00029123866288489105,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-343.6493466933868,0.00030567675417077174,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-340.0446332665331,0.00031554854230736104,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-336.4399198396794,0.000321709822637279,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-332.8352064128257,0.00032565794580525495,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-329.230492985972,0.00032937462227138276,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-325.62577955911826,0.0003350815553581584,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-322.02106613226454,0.0003449439152396853,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-318.4163527054109,0.00036076902367926746,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-314.81163927855715,0.0003837521874681427,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-311.20692585170343,0.00041431707003654626,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-307.6022124248497,0.00045208452042924045,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-303.99749899799605,0.0004959831093894762,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-300.3927855711423,0.000544489840904137,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-296.7880721442886,0.0005959647353318354,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-293.1833587174349,0.0006490228399921775,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-289.57864529058116,0.0007028760852561542,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-285.9739318637275,0.0007575784687771059,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-282.3692184368738,0.0008141224397694873,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-278.76450501002006,0.0008743604836429788,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-275.15979158316634,0.0009407594013337643,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-271.5550781563127,0.0010160291064733422,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-267.95036472945895,0.0011026955371059434,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-264.34565130260523,0.001202701944239427,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-260.7409378757515,0.0013171203248100048,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-257.13622444889785,0.0014460347273357974,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-253.53151102204413,0.0015886241817989189,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-249.9267975951904,0.0017434320441437998,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-246.3220841683367,0.0019087694171654739,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-242.71737074148297,0.002083171724574798,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-239.1126573146293,0.0022658160863522456,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-235.50794388777558,0.0024568158332032857,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-231.90323046092186,0.002657335860329222,None,6.0,#FFA600,#FFA600
