sample,low,high,density
0,0.073136,0.073791,1.016740
0,0.073791,0.074446,1.049514
0,0.074446,0.075100,0.951144
0,0.075100,0.075755,0.951144
0,0.075755,0.076410,0.819933
0,0.076410,0.077065,0.885548
0,0.077065,0.077720,0.787135
0,0.077720,0.078375,0.623163
0,0.078375,0.079029,0.524757
0,0.079029,0.079684,0.623163
0,0.079684,0.080339,0.721557
0,0.080339,0.080994,0.918325
0,0.080994,0.081649,0.819951
0,0.081649,0.082304,0.623149
0,0.082304,0.082958,0.590365
0,0.082958,0.083613,0.557554
0,0.083613,0.084268,0.983942
0,0.084268,0.084923,0.721557
0,0.084923,0.085578,0.655946
0,0.085578,0.086233,0.754355
0,0.086233,0.086888,0.557554
0,0.086888,0.087542,0.688759
0,0.087542,0.088197,0.721541
0,0.088197,0.088852,0.459173
0,0.088852,0.089507,0.524769
0,0.089507,0.090162,0.590352
0,0.090162,0.090817,0.360779
0,0.090817,0.091471,0.327973
0,0.091471,0.092126,0.360779
0,0.092126,0.092781,0.524757
0,0.092781,0.093436,0.426375
0,0.093436,0.094091,0.590365
0,0.094091,0.094746,0.262378
0,0.094746,0.095400,0.163990
0,0.095400,0.096055,0.491960
0,0.096055,0.096710,0.459173
0,0.096710,0.097365,0.393568
0,0.097365,0.098020,0.524769
0,0.098020,0.098675,0.360779
0,0.098675,0.099329,0.295176
0,0.099329,0.099984,0.196786
1,-0.084581,-0.083971,0.077730
1,-0.083971,-0.083361,0.000000
1,-0.083361,-0.082750,0.000000
1,-0.082750,-0.082140,0.000000
1,-0.082140,-0.081530,0.000000
1,-0.081530,-0.080920,0.000000
1,-0.080920,-0.080310,0.077730
1,-0.080310,-0.079700,0.000000
1,-0.079700,-0.079090,0.077730
1,-0.079090,-0.078480,0.000000
1,-0.078480,-0.077869,0.077731
1,-0.077869,-0.077259,0.077730
1,-0.077259,-0.076649,0.077730
1,-0.076649,-0.076039,0.000000
1,-0.076039,-0.075429,0.000000
1,-0.075429,-0.074819,0.155461
1,-0.074819,-0.074209,0.155462
1,-0.074209,-0.073599,0.155461
1,-0.073599,-0.072988,0.077730
1,-0.072988,-0.072378,0.155461
1,-0.072378,-0.071768,0.155462
1,-0.071768,-0.071158,0.000000
1,-0.071158,-0.070548,0.000000
1,-0.070548,-0.069938,0.155462
1,-0.069938,-0.069328,0.233191
1,-0.069328,-0.068718,0.388651
1,-0.068718,-0.068108,0.077731
1,-0.068108,-0.067497,0.077730
1,-0.067497,-0.066887,0.077730
1,-0.066887,-0.066277,0.000000
1,-0.066277,-0.065667,0.077731
1,-0.065667,-0.065057,0.077730
1,-0.065057,-0.064447,0.310921
1,-0.064447,-0.063837,0.000000
1,-0.063837,-0.063227,0.155461
1,-0.063227,-0.062616,0.544112
1,-0.062616,-0.062006,0.388656
1,-0.062006,-0.061396,0.077730
1,-0.061396,-0.060786,0.155461
1,-0.060786,-0.060176,0.077731
1,-0.060176,-0.059566,0.310921
1,-0.059566,-0.058956,0.388654
1,-0.058956,-0.058346,0.544115
1,-0.058346,-0.057736,0.699572
1,-0.057736,-0.057125,0.466384
1,-0.057125,-0.056515,0.855038
1,-0.056515,-0.055905,0.466382
1,-0.055905,-0.055295,0.932769
1,-0.055295,-0.054685,0.699577
1,-0.054685,-0.054075,0.466382
1,-0.054075,-0.053465,0.932763
1,-0.053465,-0.052855,0.544115
1,-0.052855,-0.052244,0.621846
1,-0.052244,-0.051634,0.777307
1,-0.051634,-0.051024,0.932763
1,-0.051024,-0.050414,1.088230
1,-0.050414,-0.049804,1.321422
1,-0.049804,-0.049194,1.165954
1,-0.049194,-0.048584,1.010500
1,-0.048584,-0.047974,1.632335
1,-0.047974,-0.047364,1.476884
1,-0.047364,-0.046753,0.699577
1,-0.046753,-0.046143,0.855033
1,-0.046143,-0.045533,1.088230
1,-0.045533,-0.044923,0.932769
1,-0.044923,-0.044313,1.476875
1,-0.044313,-0.043703,1.010500
1,-0.043703,-0.043093,1.399153
1,-0.043093,-0.042483,1.165954
1,-0.042483,-0.041872,1.010500
1,-0.041872,-0.041262,1.010493
1,-0.041262,-0.040652,2.098730
1,-0.040652,-0.040042,1.088230
1,-0.040042,-0.039432,2.331908
1,-0.039432,-0.038822,2.020999
1,-0.038822,-0.038212,2.098730
1,-0.038212,-0.037602,1.476875
1,-0.037602,-0.036992,1.399153
1,-0.036992,-0.036381,2.098730
1,-0.036381,-0.035771,2.331908
1,-0.035771,-0.035161,1.943268
1,-0.035161,-0.034551,1.710076
1,-0.034551,-0.033941,1.554605
1,-0.033941,-0.033331,2.642845
1,-0.033331,-0.032721,2.876020
1,-0.032721,-0.032111,2.254191
1,-0.032111,-0.031500,2.409653
1,-0.031500,-0.030890,2.020987
1,-0.030890,-0.030280,1.865538
1,-0.030280,-0.029670,3.109229
1,-0.029670,-0.029060,2.720559
1,-0.029060,-0.028450,2.409653
1,-0.028450,-0.027840,3.808806
1,-0.027840,-0.027230,2.487368
1,-0.027230,-0.026620,2.798306
1,-0.026620,-0.026009,2.331922
1,-0.026009,-0.025399,2.565099
1,-0.025399,-0.024789,3.031499
1,-0.024789,-0.024179,2.720559
1,-0.024179,-0.023569,3.186960
1,-0.023569,-0.022959,2.876037
1,-0.022959,-0.022349,3.186941
1,-0.022349,-0.021739,3.653344
1,-0.021739,-0.021128,2.876020
1,-0.021128,-0.020518,3.964292
1,-0.020518,-0.019908,2.487368
1,-0.019908,-0.019298,2.642829
1,-0.019298,-0.018688,3.031517
1,-0.018688,-0.018078,3.031480
1,-0.018078,-0.017468,2.409638
1,-0.017468,-0.016858,2.642861
1,-0.016858,-0.016248,2.642829
1,-0.016248,-0.015637,2.953750
1,-0.015637,-0.015027,3.653367
1,-0.015027,-0.014417,3.420131
1,-0.014417,-0.013807,3.342401
1,-0.013807,-0.013197,3.731052
1,-0.013197,-0.012587,3.964292
1,-0.012587,-0.011977,3.964243
1,-0.011977,-0.011367,3.653322
1,-0.011367,-0.010756,4.352948
1,-0.010756,-0.010146,3.497862
1,-0.010146,-0.009536,3.575592
1,-0.009536,-0.008926,4.663872
1,-0.008926,-0.008316,3.653322
1,-0.008316,-0.007706,4.663816
1,-0.007706,-0.007096,4.974797
1,-0.007096,-0.006486,4.352894
1,-0.006486,-0.005875,5.285658
1,-0.005875,-0.005265,6.296228
1,-0.005265,-0.004655,7.928486
1,-0.004655,-0.004045,9.871743
1,-0.004045,-0.003435,18.733221
1,-0.003435,-0.002825,26.039637
1,-0.002825,-0.002215,38.942860
1,-0.002215,-0.001605,69.336237
1,-0.001605,-0.000995,111.309730
1,-0.000995,-0.000384,165.954102
1,-0.000384,0.000226,210.496111
1,0.000226,0.000836,178.779595
1,0.000836,0.001446,120.559631
1,0.001446,0.002056,82.238614
1,0.002056,0.002666,45.161832
