bin, idx1, idx2, x, y
5,1,0, 5080.382172172722,9660.638051125195
5,1,0, 5081.137042774299,9661.674876328807
5,1,0, 5082.324013750297,9663.261902622387
5,1,0, 5085.072457600699,9665.885754119581
5,1,0, 5086.773299379326,9667.609844035898
5,1,0, 5087.650375791124,9668.509605616777
5,1,0, 5090.160303395986,9671.133457113967
5,1,0, 5092.306503056858,9673.757308611159
5,1,0, 5092.409555984354,9673.88145864908
5,1,0, 5094.915089228072,9676.38116010835
5,1,0, 5098.045812589379,9678.747387064768
5,1,0, 5098.434615337777,9679.005011605544
5,1,0, 5103.682069194408,9681.618124537614
5,1,0, 5103.70650090652,9681.62886310274
5,1,0, 5109.318325799436,9683.873661095464
5,1,0, 5110.35834832933,9684.25271459993
5,1,0, 5114.954582404463,9685.871640202473
5,1,0, 5117.634481591094,9686.876566097122
5,1,0, 5120.590839009489,9687.97042362721
5,1,0, 5124.3662510610875,9689.500417594314
5,1,0, 5126.227095614517,9690.360182576265
5,1,0, 5129.621130355522,9692.124269091508
5,1,0, 5131.863352219543,9693.422468591547
5,1,0, 5134.060779638712,9694.748120588702
5,1,0, 5137.49960882457,9696.589076360444
5,1,0, 5138.945326255714,9697.371972085894
5,1,0, 5143.135865429598,9699.052207582925
5,1,0, 5145.655131805273,9699.995823583085
5,1,0, 5148.772122034625,9700.895307086808
5,1,0, 5153.948356857342,9702.61967508028
5,1,0, 5154.408378639651,9702.767222743616
5,1,0, 5160.04463524468,9705.04309955432
5,1,0, 5160.469341802991,9705.243526577471
5,1,0, 5165.261459414728,9707.867378074665
5,1,0, 5165.680891849706,9708.157465320737
5,1,0, 5168.69678333481,9710.491229571857
5,1,0, 5171.317148454733,9713.02646498786
5,1,0, 5171.422448915442,9713.115081069049
5,1,0, 5174.960921997453,9715.738932566243
5,1,0, 5176.9534050597595,9717.053718552997
5,1,0, 5180.0788058401085,9718.362784063436
5,1,0, 5182.589661664788,9719.197621315148
5,1,0, 5188.2259182698135,9720.303478270287
5,1,0, 5193.862174874841,9720.74871430747
5,1,0, 5199.4984314798685,9720.967048286282
5,1,0, 5199.79427301536,9720.986635560628
5,1,0, 5205.134688084896,9721.385417855665
5,1,0, 5210.7709446899225,9722.20110180703
5,1,0, 5216.40720129495,9723.312727889199
5,1,0, 5218.691554166819,9723.61048705782
5,1,0, 5222.0434578999775,9724.030456327431
5,1,0, 5227.679714505004,9724.542745425284
5,1,0, 5233.315971110031,9724.711566797001
5,1,0, 5238.952227715059,9724.76193879379
5,1,0, 5244.588484320086,9724.787331897583
5,1,0, 5250.224740925112,9724.716747757111
5,1,0, 5255.86099753014,9724.47835712869
5,1,0, 5261.497254135167,9724.0100455871
5,1,0, 5264.7810781502685,9723.61048705782
5,1,0, 5267.133510740194,9723.322253499216
5,1,0, 5272.76976734522,9722.14541409405
5,1,0, 5277.288841588253,9720.986635560628
5,1,0, 5278.40602395025,9720.671534760239
5,1,0, 5284.042280555275,9718.517845051316
5,1,0, 5284.419809468164,9718.362784063436
5,1,0, 5289.678537160302,9716.340778720178
5,1,0, 5291.350936660212,9715.738932566243
5,1,0, 5295.31479376533,9714.645296618057
5,1,0, 5300.951050370357,9713.434370986131
5,1,0, 5303.383013804746,9713.115081069049
5,1,0, 5306.587306975383,9712.792668496155
5,1,0, 5312.223563580411,9712.443782170847
5,1,0, 5317.859820185438,9712.25838450348
5,1,0, 5323.496076790465,9712.167466172114
5,1,0, 5329.1323333954915,9711.904279976428
5,1,0, 5334.76859000052,9711.184238547417
5,1,0, 5338.136727797209,9710.491229571857
5,1,0, 5340.4048466055465,9710.09493586304
5,1,0, 5346.041103210573,9708.625982691914
